Incident_ID,Source_File,Frame_Number,Timestamp_Sec,Detected_Objects,Object_Count,Motion_Score,Video_Event,Severity,Confidence,Frame_Saved,Analyzed_At
B7F145D5,caviar_fall_corridor.avi,0,0.0,none,0,76800.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000000_Suspicious_Motion.jpg,2026-03-29 10:57:03
F16F6C75,caviar_fall_corridor.avi,10,0.4,backpack; fire; motorcycle,3,9687.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000010_Suspicious_Motion.jpg,2026-03-29 10:57:03
8B37725B,caviar_fall_corridor.avi,20,0.8,fire; car; smoke,3,7714.0,Fire,Critical,0.88,caviar_fall_corridor_f000020_Fire.jpg,2026-03-29 10:57:03
CDD3247D,caviar_fall_corridor.avi,30,1.2,none,0,4484.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000030_Suspicious_Motion.jpg,2026-03-29 10:57:03
E4C58FD0,caviar_fall_corridor.avi,40,1.6,truck; person; car,3,2619.0,Vehicle Crash,High,0.85,caviar_fall_corridor_f000040_Vehicle_Crash.jpg,2026-03-29 10:57:03
D37666BA,caviar_fall_corridor.avi,50,2.0,knife; backpack; fire,3,3182.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000050_Suspicious_Motion.jpg,2026-03-29 10:57:03
2B3C55BC,caviar_fall_corridor.avi,60,2.4,none,0,3464.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000060_Suspicious_Motion.jpg,2026-03-29 10:57:03
AD5336B4,caviar_fall_corridor.avi,70,2.8,truck,1,1707.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000070_Suspicious_Motion.jpg,2026-03-29 10:57:03
6512F3F5,caviar_fall_corridor.avi,80,3.2,truck; knife; backpack,3,3742.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000080_Suspicious_Motion.jpg,2026-03-29 10:57:03
A03DD011,caviar_fall_corridor.avi,90,3.6,none,0,2868.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000090_Suspicious_Motion.jpg,2026-03-29 10:57:03
3DC8E36D,caviar_fall_corridor.avi,100,4.0,backpack; car; knife,3,2647.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000100_Suspicious_Motion.jpg,2026-03-29 10:57:03
FDA47568,caviar_fall_corridor.avi,110,4.4,none,0,4196.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000110_Suspicious_Motion.jpg,2026-03-29 10:57:03
B7EC4548,caviar_fall_corridor.avi,120,4.8,none,0,4148.0,Suspicious Motion,Medium,0.55,caviar_fall_corridor_f000120_Suspicious_Motion.jpg,2026-03-29 10:57:03
4A095552,caviar_fight_seq.avi,0,0.0,none,0,3130.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000000_Suspicious_Motion.jpg,2026-03-29 10:57:03
B75A784E,caviar_fight_seq.avi,10,0.4,backpack; fire; motorcycle,3,2577.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000010_Suspicious_Motion.jpg,2026-03-29 10:57:03
C29B9498,caviar_fight_seq.avi,20,0.8,fire; car; smoke,3,2071.0,Fire,Critical,0.88,caviar_fight_seq_f000020_Fire.jpg,2026-03-29 10:57:03
3DE7D79C,caviar_fight_seq.avi,30,1.2,none,0,1759.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000030_Suspicious_Motion.jpg,2026-03-29 10:57:03
26E09743,caviar_fight_seq.avi,40,1.6,truck; person; car,3,3434.0,Vehicle Crash,High,0.85,caviar_fight_seq_f000040_Vehicle_Crash.jpg,2026-03-29 10:57:03
22169062,caviar_fight_seq.avi,50,2.0,knife; backpack; fire,3,1683.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000050_Suspicious_Motion.jpg,2026-03-29 10:57:03
3EB73356,caviar_fight_seq.avi,60,2.4,none,0,1887.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000060_Suspicious_Motion.jpg,2026-03-29 10:57:03
4BD29C52,caviar_fight_seq.avi,70,2.8,truck,1,6028.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000070_Suspicious_Motion.jpg,2026-03-29 10:57:03
6AB9D0A2,caviar_fight_seq.avi,80,3.2,truck; knife; backpack,3,7192.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000080_Suspicious_Motion.jpg,2026-03-29 10:57:03
1AE2EF77,caviar_fight_seq.avi,90,3.6,none,0,2055.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000090_Suspicious_Motion.jpg,2026-03-29 10:57:03
54B6235E,caviar_fight_seq.avi,100,4.0,backpack; car; knife,3,4198.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000100_Suspicious_Motion.jpg,2026-03-29 10:57:03
855A287A,caviar_fight_seq.avi,110,4.4,none,0,3266.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000110_Suspicious_Motion.jpg,2026-03-29 10:57:03
B11DED9C,caviar_fight_seq.avi,120,4.8,none,0,4017.0,Suspicious Motion,Medium,0.55,caviar_fight_seq_f000120_Suspicious_Motion.jpg,2026-03-29 10:57:03
B7BC9CD4,caviar_left_bag.avi,0,0.0,none,0,7597.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000000_Suspicious_Motion.jpg,2026-03-29 10:57:04
F2303E6D,caviar_left_bag.avi,10,0.4,backpack; fire; motorcycle,3,3356.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000010_Suspicious_Motion.jpg,2026-03-29 10:57:04
71C978BA,caviar_left_bag.avi,20,0.8,fire; car; smoke,3,3156.0,Fire,Critical,0.88,caviar_left_bag_f000020_Fire.jpg,2026-03-29 10:57:04
92E5E706,caviar_left_bag.avi,30,1.2,none,0,4597.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000030_Suspicious_Motion.jpg,2026-03-29 10:57:04
D6EA9D7F,caviar_left_bag.avi,40,1.6,truck; person; car,3,4218.0,Vehicle Crash,High,0.85,caviar_left_bag_f000040_Vehicle_Crash.jpg,2026-03-29 10:57:04
210DDB44,caviar_left_bag.avi,50,2.0,knife; backpack; fire,3,5472.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000050_Suspicious_Motion.jpg,2026-03-29 10:57:04
96FA6A57,caviar_left_bag.avi,60,2.4,none,0,3565.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000060_Suspicious_Motion.jpg,2026-03-29 10:57:04
81F1930D,caviar_left_bag.avi,70,2.8,truck,1,3860.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000070_Suspicious_Motion.jpg,2026-03-29 10:57:04
7BD3CD90,caviar_left_bag.avi,80,3.2,truck; knife; backpack,3,801.0,No Incident,Low,0.0,,2026-03-29 10:57:04
02B1024A,caviar_left_bag.avi,90,3.6,none,0,3525.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000090_Suspicious_Motion.jpg,2026-03-29 10:57:04
83F59D5F,caviar_left_bag.avi,100,4.0,backpack; car; knife,3,3998.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000100_Suspicious_Motion.jpg,2026-03-29 10:57:04
E0C1F28D,caviar_left_bag.avi,110,4.4,none,0,6026.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000110_Suspicious_Motion.jpg,2026-03-29 10:57:04
2C0C0459,caviar_left_bag.avi,120,4.8,none,0,3908.0,Suspicious Motion,Medium,0.55,caviar_left_bag_f000120_Suspicious_Motion.jpg,2026-03-29 10:57:04
DEC0BF74,caviar_walk1_cam1.avi,0,0.0,none,0,2976.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000000_Suspicious_Motion.jpg,2026-03-29 10:57:04
BD364826,caviar_walk1_cam1.avi,10,0.4,backpack; fire; motorcycle,3,8147.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000010_Suspicious_Motion.jpg,2026-03-29 10:57:04
0B0C71B5,caviar_walk1_cam1.avi,20,0.8,fire; car; smoke,3,4908.0,Fire,Critical,0.88,caviar_walk1_cam1_f000020_Fire.jpg,2026-03-29 10:57:04
8C738AC8,caviar_walk1_cam1.avi,30,1.2,none,0,4010.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000030_Suspicious_Motion.jpg,2026-03-29 10:57:04
ADF57981,caviar_walk1_cam1.avi,40,1.6,truck; person; car,3,4005.0,Vehicle Crash,High,0.85,caviar_walk1_cam1_f000040_Vehicle_Crash.jpg,2026-03-29 10:57:04
58E1A641,caviar_walk1_cam1.avi,50,2.0,knife; backpack; fire,3,3586.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000050_Suspicious_Motion.jpg,2026-03-29 10:57:04
0CB2DAF4,caviar_walk1_cam1.avi,60,2.4,none,0,6961.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000060_Suspicious_Motion.jpg,2026-03-29 10:57:04
CD61FF00,caviar_walk1_cam1.avi,70,2.8,truck,1,4381.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000070_Suspicious_Motion.jpg,2026-03-29 10:57:04
338CB465,caviar_walk1_cam1.avi,80,3.2,truck; knife; backpack,3,3791.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000080_Suspicious_Motion.jpg,2026-03-29 10:57:04
BAA9D1AD,caviar_walk1_cam1.avi,90,3.6,none,0,1688.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000090_Suspicious_Motion.jpg,2026-03-29 10:57:04
B5740E63,caviar_walk1_cam1.avi,100,4.0,backpack; car; knife,3,4704.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000100_Suspicious_Motion.jpg,2026-03-29 10:57:04
DD79B5D2,caviar_walk1_cam1.avi,110,4.4,none,0,3077.0,Suspicious Motion,Medium,0.55,caviar_walk1_cam1_f000110_Suspicious_Motion.jpg,2026-03-29 10:57:04
C6ED08CE,caviar_walk1_cam1.avi,120,4.8,none,0,1302.0,No Incident,Low,0.0,,2026-03-29 10:57:04
